id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
5ougM622kEvNzgejcEr1P8,0.822,0.12,134.009,0.0274,0.0154,0.0,4,0.529,3,217951,-5.929,0.619,1
3m2MHUE27IFgZXLhWnuS8f,0.517,0.12,105.189,0.0251,0.19,1.45e-06,4,0.671,10,236973,-8.058,0.83,1
5e7qxolO42VB5eD2eRaMFh,0.767,0.0758,171.986,0.0477,0.0313,4.29e-05,4,0.551,2,190533,-5.823,0.778,1
6JX6DkfUHnnVvMonwQP6Z1,0.896,0.106,113.035,0.033,0.000425,9.17e-05,4,0.586,7,259520,-4.434,0.746,1
1YzmbIq3q2XO5LL7ATbctF,0.563,0.164,100.463,0.0254,0.418,0.0294,4,0.528,5,276907,-7.591,0.254,1
1lhBlQHTd3Rn8Ct7nz8aeN,0.835,0.262,156.025,0.0466,0.079,1.49e-06,4,0.497,4,196863,-4.545,0.868,1
1dkSmUq10tbLOlzcEPGGEf,0.788,0.222,108.052,0.0308,0.0916,0.0,4,0.666,2,193131,-5.703,0.792,1
5aIPwyYKzd3RyPvhwloeoZ,0.637,0.177,73.665,0.0306,0.57,1.72e-05,4,0.402,2,209080,-4.609,0.336,1
6wWd3JpaXcdNoSqIwfGsq4,0.889,0.137,109.977,0.0301,0.00236,6.37e-06,4,0.641,0,170192,-3.243,0.447,1
2Fl7CCFIkhkZPaT1fupbGd,0.505,0.112,148.09,0.0288,0.0795,5.2e-06,4,0.557,1,211427,-7.258,0.406,1
5EcvUi2NK5XFYe6IqHx3HI,0.88,0.144,152.03,0.0552,0.152,0.000278,4,0.698,11,184320,-3.812,0.948,1
5V2DfqfuGQrNKYrF6jIDh6,0.9,0.404,169.919,0.0599,0.144,0.0,4,0.422,8,256293,-3.801,0.746,1
7hhjC3wg2CZlYokhuU15n8,0.907,0.147,159.994,0.0525,0.0661,8.21e-05,4,0.546,9,179653,-4.756,0.739,1
6vGJAqNKJF6TiFpVoXKUBz,0.816,0.13,179.894,0.0473,0.579,0.0,4,0.44,11,202560,-3.949,0.863,1
34abDApUQmGrgsuSNmTuve,0.895,0.11,113.96,0.0413,0.00599,0.00286,4,0.638,0,197680,-4.07,0.713,1
6P21oFrn1SvxjPL4yB1pxR,0.508,0.138,81.012,0.0376,0.436,0.0,4,0.504,3,204023,-7.127,0.264,1
1sknylypJQwx6LNgFomKT7,0.832,0.0647,140.028,0.0286,0.0492,0.0,4,0.661,2,251080,-5.715,0.804,1
4w3BwrZJobWOEQ27pl1SpH,0.844,0.158,105.983,0.0407,0.0517,0.0,4,0.535,5,176373,-5.047,0.353,1
4QguhFXbSQYNUKOumDMS4R,0.398,0.102,77.575,0.036,0.835,0.0,4,0.574,0,217387,-6.999,0.38,1
5bM4WLcHDLVmvQ7RqVeqY1,0.714,0.0954,147.914,0.0361,0.474,0.0,4,0.5,1,218560,-5.753,0.298,1
7u82QfsfMKS79Sr9k57A4w,0.85,0.19,91.953,0.0411,0.241,0.0,4,0.58,7,241267,-5.112,0.578,1
6hr4weuSidHy2LNMw8UVJ2,0.335,0.118,136.071,0.0395,0.338,0.000552,4,0.693,0,198907,-10.863,0.623,1
5FVuERsYqtKKAaWe62NBnv,0.586,0.121,87.994,0.0313,0.115,1.69e-06,4,0.647,0,228907,-6.883,0.165,1
